Title,Genre,Rating,Gross,Director,Star1,Star2,Star3,Star4,,,,,
,,,,,,,,,,,,,
Satyameva Jayate,"
Action, Thriller            ",5.6,NA,Milap Zaveri,John Abraham,Manoj Bajpayee,Aisha Sharma,Amruta Khanvilkar,,,,,
,,,,,,,,,,,,,
Raid,"
Action, Crime, Drama            ",7.4,$1.01M,Raj Kumar Gupta,Ajay Devgn,Saurabh Shukla,Ileana D'Cruz,Amit Sial,,,,,
,,,,,,,,,,,,,
Raazi,"
Action, Drama, Thriller            ",7.8,NA,Meghna Gulzar,Alia Bhatt,Vicky Kaushal,Rajit Kapoor,Shishir Sharma,,,,,
,,,,,,,,,,,,,
Sarkar 3,"
Action, Crime, Drama            ",4.9,NA,Ram Gopal Varma,Amitabh Bachchan,Manoj Bajpayee,Abhishek Bachchan,Yami Gautam,,,,,
,,,,,,,,,,,,,
Hope Aur Hum,"
Comedy, Drama, Family            ",6.4,NA,Sudip Bandyopadhyay,Naseeruddin Shah,Kabir Sajid,Virti Vaghani,Sonali Kulkarni,,,,,
,,,,,,,,,,,,,
Chalo Jeete Hain,"
Short, Biography            ",7.5,NA,Mangesh Hadawale,Rajeev Saxena,Lata S. Singh,,,,,,,
,,,,,,,,,,,,,
Andhadhun,"
Crime, Thriller            ",8.4,$1.19M,Sriram Raghavan,Ayushmann Khurrana,Tabu,Radhika Apte,Anil Dhawan,,,,,
,,,,,,,,,,,,,
Dhadak,"
Comedy, Drama, Romance            ",4.5,NA,Shashank Khaitan,Ishaan Khattar,Janhvi Kapoor,Ashutosh Rana,Aditya Kumar,,,,,
,,,,,,,,,,,,,
Fanney Khan,"
Comedy, Drama, Music            ",4.4,NA,Atul Manjrekar,Aishwarya Rai Bachchan,Anil Kapoor,Rajkummar Rao,Divya Dutta,,,,,
,,,,,,,,,,,,,
Karwaan,"
Comedy, Drama            ",7.5,$0.18M,Akarsh Khurana,Irrfan Khan,Dulquer Salmaan,Mithila Palkar,Amala Akkineni,,,,,
,,,,,,,,,,,,,
Tumbbad,"
Drama, Fantasy, Horror            ",8.2,NA,Rahi Anil Barve,Anand Gandhi,Adesh Prasad,Sohum Shah,Jyoti Malshe,,,,,
,,,,,,,,,,,,,
Pari,"
Fantasy, Horror, Mystery            ",6.6,NA,Prosit Roy,Anushka Sharma,Parambrata Chattopadhyay,Rajat Kapoor,Ritabhari Chakraborty,,,,,
,,,,,,,,,,,,,
Ladies vs. Ricky Bahl,"
Comedy, Drama, Romance            ",5.9,NA,Maneesh Sharma,Ranveer Singh,Anushka Sharma,Parineeti Chopra,Dipannita Sharma,,,,,
,,,,,,,,,,,,,
Chef,"
Comedy, Drama, Family            ",5.7,NA,Raja Menon,Saif Ali Khan,Padmapriya,Svar Kamble,Chandan Roy Sanyal,,,,,
,,,,,,,,,,,,,
Teri Bhabhi Hai Pagle,"
Action, Comedy            ",3.4,NA,Vinod Tiwari,Rajniesh Duggall,Nazia Hussain,Krishna Abhishek,Mukul Dev,,,,,
,,,,,,,,,,,,,
Gully Boy,"
Drama, Music            ",8.2,$5.57M,Zoya Akhtar,Ranveer Singh,Alia Bhatt,Siddhant Chaturvedi,Vijay Raaz,,,,,
,,,,,,,,,,,,,
Badla,"
Crime, Drama, Mystery            ",7.9,NA,Sujoy Ghosh,Amitabh Bachchan,Taapsee Pannu,Amrita Singh,Antonio Aakeel,,,,,
,,,,,,,,,,,,,
Lipstick Under My Burkha,"
Drama            ",6.8,NA,Alankrita Shrivastava,Aahana Kumra,Ratna Pathak Shah,Konkona Sen Sharma,Plabita Borthakur,,,,,
,,,,,,,,,,,,,
Trapped,"
Action, Drama, Thriller            ",7.5,NA,Vikramaditya Motwane,Rajkummar Rao,Geetanjali Thapa,Shiladitya Sen,Rahul Patel,,,,,
,,,,,,,,,,,,,
Manto,"
Biography, Drama            ",7.4,NA,Nandita Das,Nawazuddin Siddiqui,Rasika Dugal,Tahir Raj Bhasin,Nazma Ali Shaikh,,,,,
,,,,,,,,,,,,,
Arjun Reddy,"
Action, Drama, Romance            ",8.2,NA,Sandeep Reddy Vanga,Vijay Deverakonda,Shalini Pandey,Jia Sharma,Kanchana,,,,,
,,,,,,,,,,,,,
Mard Ko Dard Nahin Hota,"
Action, Comedy            ",7.4,NA,Vasan Bala,Abhimanyu Dasani,Radhika Madan,Prateek Parmar,Satyajit Ganu,,,,,
,,,,,,,,,,,,,
Kabir Singh,"
Drama, Romance            ",7.3,NA,Sandeep Reddy Vanga,Shahid Kapoor,Kiara Advani,Soham Majumdar,Arjan Bajwa,,,,,
,,,,,,,,,,,,,
Article 15,"
Crime, Drama            ",8.3,NA,Anubhav Sinha,Ayushmann Khurrana,Nassar,Manoj Pahwa,Kumud Mishra,,,,,
,,,,,,,,,,,,,
Baadshaho,"
Action, Thriller            ",4.9,NA,Milan Luthria,Ajay Devgn,Ileana D'Cruz,Emraan Hashmi,Esha Gupta,,,,,
,,,,,,,,,,,,,
2,"
Action, Sci-Fi            ",6.4,$5.57M,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson,Adil Hussain,,,,,
,,,,,,,,,,,,,
Baazaar,"
Crime, Drama, Thriller            ",6.6,NA,Gauravv K. Chawla,Saif Ali Khan,Radhika Apte,Danish Husain,Chitrangda Singh,,,,,
,,,,,,,,,,,,,
Zero,"
Comedy, Drama, Romance            ",5.5,NA,Aanand L. Rai,Shah Rukh Khan,Anushka Sharma,Katrina Kaif,Mohammed Zeeshan Ayyub,,,,,
,,,,,,,,,,,,,
Aiyaary,"
Action, Thriller            ",5.2,NA,Neeraj Pandey,Sidharth Malhotra,Manoj Bajpayee,Rakul Preet Singh,Pooja Chopra,,,,,
,,,,,,,,,,,,,
Naam Shabana,"
Action, Thriller            ",6.3,NA,Shivam Nair,Taapsee Pannu,Akshay Kumar,Manoj Bajpayee,Taher Shabbir,,,,,
,,,,,,,,,,,,,
Sui Dhaaga: Made in India,"
Comedy, Drama            ",6.8,$0.79M,Sharat Katariya,Anushka Sharma,Varun Dhawan,Ashish Verma,Komal Chhabria,,,,,
,,,,,,,,,,,,,
Baaghi,"
Action, Thriller            ",5.2,$0.44M,Sabir Khan,Shraddha Kapoor,Tiger Shroff,Sudheer Babu Posani,Paras Arora,,,,,
,,,,,,,,,,,,,
Judgementall Hai Kya,"
Comedy, Drama, Thriller            ",6.2,NA,Prakash Kovelamudi,Kangana Ranaut,Rajkummar Rao,Amyra Dastur,Amrita Puri,,,,,
,,,,,,,,,,,,,
Mom,"
Crime, Drama, Thriller            ",7.3,NA,Ravi Udyawar,Sridevi,Akshaye Khanna,Sajal Ali,Adnan Siddiqui,,,,,
,,,,,,,,,,,,,
Daawat-e-Ishq,"
Comedy, Drama, Romance            ",6.1,NA,Habib Faisal,Aditya Roy Kapoor,Parineeti Chopra,Anupam Kher,Karan Wahi,,,,,
,,,,,,,,,,,,,
Mitron,"
Comedy            ",6.9,NA,Nitin Kakkar,Jackky Bhagnani,Kritika Kamra,Prateik,Perlene Bhersaina,,,,,
,,,,,,,,,,,,,
Chandni Chowk to China,"
Action, Comedy            ",4,$0.92M,Nikkhil Advani,Akshay Kumar,Deepika Padukone,Chia-Hui Liu,Mithun Chakraborty,,,,,
,,,,,,,,,,,,,
Aasma: The Sky Is the Limit,"
Drama            ",3.8,NA,Rohit Naiyar,Hrishitaa Bhatt,Seema Biswas,Nauheed Cyrusi,Mansi Dovhal,,,,,
,,,,,,,,,,,,,
Raaz: The Mystery Continues,"
Horror, Mystery, Romance            ",5.6,NA,Mohit Suri,Kangana Ranaut,Adhyayan Suman,Emraan Hashmi,Vicky Ahuja,,,,,
,,,,,,,,,,,,,
Luck by Chance,"
Drama            ",7,$0.36M,Zoya Akhtar,Farhan Akhtar,Konkona Sen Sharma,Rishi Kapoor,Dimple Kapadia,,,,,
,,,,,,,,,,,,,
Victory,"
Drama, Sport            ",3.7,NA,Ajit Pal Mangat,Harman Baweja,Allan Border,Mike Hussey,Simon Jones,,,,,
,,,,,,,,,,,,,
Dev.D,"
Comedy, Drama, Romance            ",8,$0.01M,Anurag Kashyap,Abhay Deol,Mahie Gill,Kalki Koechlin,Dibyendu Bhattacharya,,,,,
,,,,,,,,,,,,,
Chal Chala Chal,"
Action, Comedy, Crime            ",4.6,NA,Rajeev Kumar,Asrani,Asif Basra,Govinda,Manoj Joshi,,,,,
,,,,,,,,,,,,,
Mere Khwabon Mein Jo Aaye,"
Drama, Fantasy, Musical            ",5.7,NA,Madhureeta Anand,Randeep Hooda,Raima Sen,Arbaaz Khan,Javed Akhtar,,,,,
,,,,,,,,,,,,,
Billu,"
Comedy, Drama            ",6.1,$0.75M,Priyadarshan,Irrfan Khan,Lara Dutta,Om Puri,Asrani,,,,,
,,,,,,,,,,,,,
The Stoneman Murders,"
Crime, Drama, Mystery            ",7.4,NA,Manish Gupta,Kay Kay Menon,Arbaaz Khan,Rukhsar Rehman,Virendra Saxena,,,,,
,,,,,,,,,,,,,
Delhi-6,"
Comedy, Drama            ",6,$0.88M,Rakeysh Omprakash Mehra,Waheeda Rehman,Abhishek Bachchan,Sonam Kapoor,Rishi Kapoor,,,,,
,,,,,,,,,,,,,
Kisse Pyaar Karoon?,"
Action, Comedy, Crime            ",3.2,NA,Ajay Chandhok,Arshad Warsi,Aashish Chaudhary,Yash Tonk,Udita Goswami,,,,,
,,,,,,,,,,,,,
13B: Fear Has a New Address,"
Drama, Horror, Mystery            ",7.2,$0.03M,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,Saranya Ponvannan,,,,,
,,,,,,,,,,,,,
Dhoondte Reh Jaoge,"
Comedy, Drama            ",5.6,$0.01M,Umesh Shukla,Paresh Rawal,Kunal Khemu,Sonu Sood,Soha Ali Khan,,,,,
,,,,,,,,,,,,,
"Karma, Confessions and Holi","
Drama            ",3,NA,Manish Gupta,Rati Agnihotri,Armin Amiri,Kulraaj Anand,Farah Bala,,,,,
,,,,,,,,,,,,,
Jai Veeru: Friends Forever,"
Action, Adventure, Crime            ",3.5,NA,Puneet Sira,Fardeen Khan,Kunal Khemu,Dia Mirza,Anjana Sukhani,,,,,
,,,,,,,,,,,,,
Gulaal,"
Crime, Drama, Thriller            ",8.1,NA,Anurag Kashyap,Kay Kay Menon,Raj Singh Chaudhary,Jesse Randhawa,Deepak Dobriyal,,,,,
,,,,,,,,,,,,,
Aloo Chaat,"
Comedy, Drama, Romance            ",5.8,NA,Robbie Grewal,Aftab Shivdasani,Aamna Sharif,Linda Arsenio,Sanjay Mishra,,,,,
,,,,,,,,,,,,,
Barah Aana,"
Comedy, Crime, Drama            ",6.8,NA,Raja Menon,Naseeruddin Shah,Vijay Raaz,Arjun Mathur,Violante Placido,,,,,
,,,,,,,,,,,,,
Firaaq,"
Drama, History            ",7.4,NA,Nandita Das,Inaamulhaq,Nassar,Shahana Goswami,Nawazuddin Siddiqui,,,,,
,,,,,,,,,,,,,
Lottery,"
Crime, Drama, Mystery            ",3.1,NA,Hemant Prabhu,Abhijeet,Abhijeet Sawant,Rucha Gujrati,Manisha Kelkar,,,,,
,,,,,,,,,,,,,
Straight,"
Comedy, Drama            ",5.9,NA,Parvati Balagopalan,Vinay Pathak,Gul Panag,Anuj Chaudhary,Sid Makkar,,,,,
,,,,,,,,,,,,,
Aa Dekhen Zara,"
Action, Sci-Fi, Thriller            ",5,NA,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary,Rahul Dev,,,,,
,,,,,,,,,,,,,
99,"
Comedy, Crime, Drama            ",7.3,NA,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani,Soha Ali Khan,,,,,
,,,,,,,,,,,,,
Ek: The Power of One,"
Action, Drama, Thriller            ",4.8,NA,Sangeeth Sivan,Bobby Deol,Shriya Saran,Kulbhushan Kharbanda,Sachin Khedekar,,,,,
,,,,,,,,,,,,,
8 x 10 Tasveer,"
Action, Crime, Mystery            ",5.4,NA,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey,Girish Karnad,,,,,
,,,,,,,,,,,,,
Ek Se Bure Do,"
Action, Comedy, Crime            ",4.2,NA,Tariq Khan,Anita,Lankesh Bhardwaj,Snehal Dabi,Jagdeep,,,,,
,,,,,,,,,,,,,
Pal Pal Dil Ke Ssaat,"
Romance            ",4.9,NA,V. Krishna Kumar,Tanvi Azmi,Mahie Gill,Ajay Jadeja,Vinod Kambli,,,,,
,,,,,,,,,,,,,
Coffee House,"
Drama            ",6.6,NA,Gurbir Singh Grewal,Ashutosh Rana,Sakshi Tanwar,Neha Mishra,Aman Dhaliwal,,,,,
,,,,,,,,,,,,,
Chowrasta Crossroads of Love,"
Drama            ",6.6,NA,Anjan Dutt,Naved Aslam,Victor Banerjee,Neil Bose,Saswata Chatterjee,,,,,
,,,,,,,,,,,,,
Meri Padosan,"
Comedy, Drama            ",0,NA,Prakash Saini,Sarvar Ahuja,Saadhika Randhawa,Sanjay Mishra,Snehal Dabi,,,,,
,,,,,,,,,,,,,
Sikandar,"
Crime, Drama, Mystery            ",6.4,$0.00M,Piyush Jha,Parzaan Dastur,Ayesha Kapoor,Sanjay Suri,Madhavan,,,,,
,,,,,,,,,,,,,
Sanam Teri Kasam,"
Action, Drama, Romance            ",5.1,NA,Lawrence D'Souza,Saif Ali Khan,Atul Agnihotri,Pooja Bhatt,Sheeba,,,,,
,,,,,,,,,,,,,
Team: The Force,"
Action, Comedy            ",4.3,NA,Ajay Chandhok,Sohail Khan,Amrita Arora,Yash Tonk,Vrajesh Hirjee,,,,,
,,,,,,,,,,,,,
Kal Kissne Dekha,"
Action, Crime, Romance            ",3.5,$0.02M,Vivek Sharma,Jackky Bhagnani,Nushrat Bharucha,David Bueno,Brahim Chab,,,,,
,,,,,,,,,,,,,
Accident on Hill Road,"
Crime, Drama, Thriller            ",3.9,NA,Mahesh Nair,Farooq Shaikh,Celina Jaitly,Abhimanyu Singh,Rukhsar Rehman,,,,,
,,,,,,,,,,,,,
3 Idiots,"
Comedy, Drama            ",8.4,$6.53M,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,Sharman Joshi,,,,,
,,,,,,,,,,,,,
"Raat Gayi, Baat Gayi?","
Comedy, Drama            ",6.3,NA,Saurabh Shukla,Aamir Bashir,Anil Chaudhary,Makrand Deshpande,Neha Dhupia,,,,,
,,,,,,,,,,,,,
De Dana Dan,"
Comedy, Crime            ",5.3,$0.94M,Priyadarshan,Akshay Kumar,Sunil Shetty,Katrina Kaif,Sameera Reddy,,,,,
,,,,,,,,,,,,,
Ada... A Way of Life,"
Action, Crime, Drama            ",3.5,NA,Tanvir Ahmad,Ayaan Ahmad,Ayesha Jhulka,Rahul Roy,Nauheed Cyrusi,,,,,
,,,,,,,,,,,,,
Rocket Singh: Salesman of the Year,"
Comedy, Drama            ",7.5,NA,Shimit Amin,Ranbir Kapoor,Prem Chopra,Mukesh Bhatt,D. Santosh,,,,,
,,,,,,,,,,,,,
Paa,"
Comedy, Drama            ",7.2,$0.20M,R. Balki,Amitabh Bachchan,Abhishek Bachchan,Vidya Balan,Paresh Rawal,,,,,
,,,,,,,,,,,,,
Radio: Love on Air,"
Drama, Musical, Romance            ",3,NA,Ishaan Trivedi,Himesh Reshammiya,Shenaz Treasury,Sonal Sehgal,Paresh Rawal,,,,,
,,,,,,,,,,,,,
Marega Salaa,"
Crime, Drama, Mystery            ",4.6,NA,Devang Dholakia,Jimmy Sheirgill,Kim Sharma,Hrishitaa Bhatt,Rahul Handa,,,,,
,,,,,,,,,,,,,
Kurbaan,"
Action, Crime, Drama            ",5.7,$0.75M,Renzil D'Silva,Lewis Tan,Kareena Kapoor,Saif Ali Khan,Om Puri,,,,,
,,,,,,,,,,,,,
Aao Wish Karein,"
Comedy, Family, Fantasy            ",5.1,NA,Glen Barreto,Aftab Shivdasani,Aamna Sharif,Rati Agnihotri,Tiku Talsania,,,,,
,,,,,,,,,,,,,
Tum Mile,"
Drama, Romance            ",4.9,NA,Kunal Deshmukh,Emraan Hashmi,Soha Ali Khan,Mantra,Prerna Chawla,,,,,
,,,,,,,,,,,,,
Jail,"
Drama            ",6.2,NA,Madhur Bhandarkar,Manoj Bajpayee,Neil Nitin Mukesh,Atul Kulkarni,Mugdha Godse,,,,,
,,,,,,,,,,,,,
Ajab Prem Ki Ghazab Kahani,"
Action, Comedy, Romance            ",6.3,NA,Rajkumar Santoshi,Ranbir Kapoor,Katrina Kaif,Darshan Jariwala,Smita Jaykar,,,,,
,,,,,,,,,,,,,
Do Knot Disturb,"
Comedy, Drama            ",3.6,$0.21M,David Dhawan,Govinda,Sushmita Sen,Riteish Deshmukh,Lara Dutta,,,,,
,,,,,,,,,,,,,
Wake Up Sid,"
Comedy, Drama, Romance            ",7.6,$0.72M,Ayan Mukherjee,Ranbir Kapoor,Konkona Sen Sharma,Supriya Pathak,Anupam Kher,,,,,
,,,,,,,,,,,,,
Acid Factory,"
Action, Crime, Mystery            ",5,NA,Suparn Verma,Fardeen Khan,Dia Mirza,Manoj Bajpayee,Aftab Shivdasani,,,,,
,,,,,,,,,,,,,
All the Best: Fun Begins,"
Action, Comedy, Drama            ",6.1,$0.10M,Rohit Shetty,Sanjay Dutt,Ajay Devgn,Fardeen Khan,Bipasha Basu,,,,,
,,,,,,,,,,,,,
Blue,"
Action, Adventure, Thriller            ",3.7,NA,Anthony D'Souza,Akshay Kumar,Sanjay Dutt,Lara Dutta,Zayed Khan,,,,,
,,,,,,,,,,,,,
Main Aurr Mrs Khanna,"
Comedy, Drama, Romance            ",3.6,$0.20M,Prem Soni,Salman Khan,Kareena Kapoor,Sohail Khan,Preity Zinta,,,,,
,,,,,,,,,,,,,
Fruit & Nut,"
Comedy, Crime, Drama            ",3,NA,Kunal Vijaykar,Atmaram Bhende,Cyrus Broacha,Anisha Hinduja,Boman Irani,,,,,
,,,,,,,,,,,,,
Love Kaa Taddka,"
Comedy, Drama            ",5,NA,Rajan Waghdhare,Ahmed Faisal Inam,Sammir Dattani,Nauheed Cyrusi,Bhakhatyar Irani,,,,,
,,,,,,,,,,,,,
London Dreams,"
Drama, Music            ",5.4,NA,Vipul Amrutlal Shah,Salman Khan,Ajay Devgn,Om Puri,Varun Sharma,,,,,
,,,,,,,,,,,,,
Aladin,"
Action, Adventure, Fantasy            ",4.6,NA,Sujoy Ghosh,Amitabh Bachchan,Sanjay Dutt,Riteish Deshmukh,Jacqueline Fernandez,,,,,
,,,,,,,,,,,,,
"Three: Love, Lies, Betrayal","
Drama, Mystery, Thriller            ",5.8,NA,Vishal Pandya,Aashish Chaudhary,Akshay Kapoor,Nausheen Ali Sardar,Achint Kaur,,,,,
,,,,,,,,,,,,,
Aagey Se Right,"
Comedy, Crime, Drama            ",5.1,NA,Indrajit Nattoji,Shreyas Talpade,Mahie Gill,Karan Veer Mehra,Kay Kay Menon,,,,,
,,,,,,,,,,,,,
Chintu Ji,"
Comedy, Drama            ",5.8,NA,Ranjit Kapoor,Rishi Kapoor,Priyanshu Chatterjee,Kulraj Randhawa,Saurabh Shukla,,,,,
,,,,,,,,,,,,,
Fox,"
Crime, Drama, Mystery            ",5.2,NA,Deepak Tijori,Arjun Rampal,Sunny Deol,Udita Goswami,Sagarika Ghatge,,,,,
,,,,,,,,,,,,,
Aamras: The Sweet Taste of Friendship,"
Drama            ",5.6,NA,Rupali Guha,Vega Tamotia,Ntasha Bhardwaj,Maanvi Gagroo,Aanchal Sabharwal,,,,,
,,,,,,,,,,,,,
Baabarr,"
Action, Crime, Drama            ",5.2,NA,Ashu Trikha,Mithun Chakraborty,Om Puri,Sohum Shah,Urvashi Sharma,,,,,
,,,,,,,,,,,,,
Phir Kabhi,"
Drama, Romance            ",6.9,NA,V.K. Prakash,Mithun Chakraborty,Dimple Kapadia,Kaivalya Chheda,Gulshan Grover,,,,,
,,,,,,,,,,,,,
Vaada Raha... I Promise,"
Drama            ",5.5,NA,Samir Karnik,Bobby Deol,Dwij Yadav,Kangana Ranaut,Mohnish Bahl,,,,,
,,,,,,,,,,,,,
Dil Bole Hadippa!,"
Comedy, Drama, Sport            ",4.5,NA,Anurag Singh,Shahid Kapoor,Rani Mukerji,Anupam Kher,Dalip Tahil,,,,,
,,,,,,,,,,,,,
Blue Oranges,"
Mystery            ",6.5,NA,Rajesh Ganguly,Rajit Kapoor,Aham Sharma,Pooja Kanwal,Richashree,,,,,
,,,,,,,,,,,,,
Wanted,"
Action, Crime, Thriller            ",6.6,NA,Prabhu Deva,Salman Khan,Ayesha Takia,Vinod Khanna,Govind Namdeo,,,,,
,,,,,,,,,,,,,
What's Your Raashee?,"
Comedy, Drama, Romance            ",4.6,$0.26M,Ashutosh Gowariker,Harman Baweja,Priyanka Chopra,Anjan Srivastav,Manju Singh,,,,,
,,,,,,,,,,,,,
8 x 10 Tasveer,"
Action, Crime, Mystery            ",5.4,NA,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey,Girish Karnad,,,,,
,,,,,,,,,,,,,
Ek Se Bure Do,"
Action, Comedy, Crime            ",4.2,NA,Tariq Khan,Anita,Lankesh Bhardwaj,Snehal Dabi,Jagdeep,,,,,
,,,,,,,,,,,,,
Pal Pal Dil Ke Ssaat,"
Romance            ",4.9,NA,V. Krishna Kumar,Tanvi Azmi,Mahie Gill,Ajay Jadeja,Vinod Kambli,,,,,
,,,,,,,,,,,,,
Chowrasta Crossroads of Love,"
Drama            ",6.6,NA,Anjan Dutt,Naved Aslam,Victor Banerjee,Neil Bose,Saswata Chatterjee,,,,,
,,,,,,,,,,,,,
Meri Padosan,"
Comedy, Drama            ",0,NA,Prakash Saini,Sarvar Ahuja,Saadhika Randhawa,Sanjay Mishra,Snehal Dabi,,,,,
,,,,,,,,,,,,,
Sikandar,"
Crime, Drama, Mystery            ",6.4,$0.00M,Piyush Jha,Parzaan Dastur,Ayesha Kapoor,Sanjay Suri,Madhavan,,,,,
,,,,,,,,,,,,,
Team: The Force,"
Action, Comedy            ",4.3,NA,Ajay Chandhok,Sohail Khan,Amrita Arora,Yash Tonk,Vrajesh Hirjee,,,,,
,,,,,,,,,,,,,
Kal Kissne Dekha,"
Action, Crime, Romance            ",3.5,$0.02M,Vivek Sharma,Jackky Bhagnani,Nushrat Bharucha,David Bueno,Brahim Chab,,,,,
,,,,,,,,,,,,,
Zor Lagaa Ke... Haiya!,"
Comedy, Drama, Family            ",6.4,NA,Girish Girija Joshi,Meghan Jadhav,Mithun Chakraborty,Riya Sen,Seema Biswas,,,,,
,,,,,,,,,,,,,
Let's Dance,"
Crime, Drama, Musical            ",5.8,NA,Aarif Sheikh,Gayatri Bahl,Aqib Afzaal,Ajay Chaudhary,Aabhas Yadav,,,,,
,,,,,,,,,,,,,
Paying Guests,"
Comedy, Drama            ",4.2,NA,Paritosh Painter,Shreyas Talpade,Javed Jaffrey,Aashish Chaudhary,Vatsal Sheth,,,,,
,,,,,,,,,,,,,
New York,"
Crime, Drama, Thriller            ",6.8,$0.98M,Kabir Khan,John Abraham,Katrina Kaif,Neil Nitin Mukesh,Irrfan Khan,,,,,
,,,,,,,,,,,,,
Sankat City,"
Comedy, Crime, Drama            ",6.2,NA,Pankaj Advani,Kay Kay Menon,Rimi Sen,Anupam Kher,Chunky Pandey,,,,,
,,,,,,,,,,,,,
Kambakkht Ishq,"
Action, Comedy, Romance            ",3.8,$1.45M,Sabir Khan,Sylvester Stallone,Denise Richards,Whoopi Goldberg,Akshay Kumar,,,,,
,,,,,,,,,,,,,
Shortkut - The Con Is On,"
Comedy, Drama            ",3.4,NA,Neeraj Vora,Sanjay Dutt,Anil Kapoor,Amrita Rao,Akshaye Khanna,,,,,
,,,,,,,,,,,,,
Jashnn: The Music Within,"
Drama, Musical, Romance            ",3.8,NA,Hasnain Hyderabadwala,Raksha Mistry,Adhyayan Suman,Shahana Goswami,Natasha Jain,,,,,
,,,,,,,,,,,,,
Luck,"
Action, Adventure, Drama            ",4.8,NA,Soham Shah,Mithun Chakraborty,Sanjay Dutt,Imran Khan,Ravi Kishan,,,,,
,,,,,,,,,,,,,
Love Aaj Kal,"
Comedy, Drama, Romance            ",6.8,$2.43M,Imtiaz Ali,Saif Ali Khan,Deepika Padukone,Rishi Kapoor,Rahul Khanna,,,,,
,,,,,,,,,,,,,
Chal Chalein,"
Drama            ",6.5,NA,Ujjwal Singh,Javed Abedi,Anand Abhyankar,Adityansh,Lalit Agarwal,,,,,
,,,,,,,,,,,,,
Teree Sang: A Kidult Love Story,"
Drama, Romance            ",6.2,NA,Satish Kaushik,Ruslaan Mumtaz,Sheena Shahabadi,Rajat Kapoor,Neena Gupta,,,,,
,,,,,,,,,,,,,
Kaminey,"
Action, Crime, Drama            ",7.4,$1.29M,Vishal Bhardwaj,Shahid Kapoor,Priyanka Chopra,Deb Mukherjee,Shivkumar Subramaniam,,,,,
,,,,,,,,,,,,,
Life Partner,"
Comedy, Drama, Romance            ",5.2,NA,Rumi Jaffery,Govinda,Fardeen Khan,Tusshar Kapoor,Genelia D'Souza,,,,,
,,,,,,,,,,,,,
Daddy Cool,"
Drama            ",4.9,NA,Aashiq Abu,Mammootty,Ashish Vidyarthi,Lena,Richa Pallod,,,,,
,,,,,,,,,,,,,
Love Khichdi,"
Comedy, Drama, Romance            ",5.7,NA,Srinivas Bhashyam,Randeep Hooda,Rituparna Sengupta,Sada,Divya Dutta,,,,,
,,,,,,,,,,,,,
Kisaan,"
Action, Crime, Drama            ",5.4,NA,Puneet Sira,Jackie Shroff,Sohail Khan,Arbaaz Khan,Nauheed Cyrusi,,,,,
,,,,,,,,,,,,,
Quick Gun Murugun: Misadventures of an Indian Cowboy,"
Action, Comedy, Drama            ",5.9,NA,Shashanka Ghosh,Rajendra Prasad,Nassar,Rambha,Raju Sundaram,,,,,
,,,,,,,,,,,,,
Toss: A Flip of Destiny,"
Crime, Drama, Thriller            ",6.6,NA,Ramesh Khatkar,Rannvijay Singh,Prashant Raj,Ashmit Patel,Aarti Chhabria,,,,,
,,,,,,,,,,,,,
Y.M.I. Yeh Mera India,"
Crime, Drama, Thriller            ",7.8,NA,N. Chandra,Anupam Kher,Atul Kulkarni,Milind Gunaji,Aakash Pandey,,,,,
,,,,,,,,,,,,,
Singh Is Kinng,"
Action, Comedy, Crime            ",5.7,NA,Anees Bazmee,Akshay Kumar,Katrina Kaif,Om Puri,Kiron Kher,,,,,
,,,,,,,,,,,,,
Race,"
Action, Crime, Drama            ",6.6,$1.37M,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Saif Ali Khan,Akshaye Khanna,Bipasha Basu,,,,,
,,,,,,,,,,,,,
Rab Ne Bana Di Jodi,"
Comedy, Drama, Music            ",7.1,$2.07M,Aditya Chopra,Shah Rukh Khan,Anushka Sharma,Vinay Pathak,M.K. Raina,,,,,
,,,,,,,,,,,,,
Ghajini,"
Action, Drama, Mystery            ",7.3,$2.43M,A.R. Murugadoss,Aamir Khan,Asin,Jiah Khan,Tinnu Anand,,,,,
,,,,,,,,,,,,,
God Tussi Great Ho,"
Comedy, Drama, Fantasy            ",3.6,$0.22M,Rumi Jaffery,Amitabh Bachchan,Salman Khan,Priyanka Chopra,Anupam Kher,,,,,
,,,,,,,,,,,,,
Heroes,"
Action, Adventure, Comedy            ",5.6,$0.59M,Samir Karnik,Sohail Khan,Vatsal Sheth,Amrita Arora,Riya Sen,,,,,
,,,,,,,,,,,,,
Dostana,"
Comedy, Drama, Romance            ",6.5,$1.24M,Tarun Mansukhani,Abhishek Bachchan,John Abraham,Priyanka Chopra,Kiron Kher,,,,,
,,,,,,,,,,,,,
A Wednesday,"
Crime, Drama, Mystery            ",8.1,NA,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill,Deepal Shaw,,,,,
