Title,Rating,Director,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3
Blue Oranges,6.5,Rajesh Ganguly,Rajit Kapoor,Aham Sharma,Pooja Kanwal,Richashree,Mystery            ,,
Aurangzeb,6.5,Atul Sabharwal,Arjun Kapoor,Sasha Aagha,Prithviraj Sukumaran,Rishi Kapoor,Action,Drama,Thriller            
Coffee Bloom,6.5,Manu Warrier,Arjun Mathur,Sugandha Garg,Ishwari Bose-Bhattacharya,Mohan Kapoor,Drama            ,,
Goliyon Ki Rasleela Ram-Leela,6.4,Sanjay Leela Bhansali,Ranveer Singh,Deepika Padukone,Supriya Pathak,Sharad Kelkar,Drama,Musical,Romance            
Kaccha Limboo,6.4,Sagar Ballary,Karan Bhanushali,Bhairavi Goswami,Iravati Harshe,Chinmay Kambli,Comedy,Family            ,
Right Yaaa Wrong,6.4,Neeraj Pathak,Sunny Deol,Irrfan Khan,Isha Koppikar,Konkona Sen Sharma,Crime,Drama,Thriller            
Khoobsurat,6.4,Shashanka Ghosh,Sonam Kapoor,Fawad Khan,Ratna Pathak Shah,Kiron Kher,Comedy,Romance            ,
Do Lafzon Ki Kahani,6.4,Deepak Tijori,Kajal Aggarwal,Anil George,Randeep Hooda,Snehal Kulshreshtha,Action,Drama,Romance            
"Love, Wrinkle-free",6.4,Sandeep Mohan,Ash Chandler,Shernaz Patel,Sohrab Ardeshir,Seema Rahmani,Comedy,Drama,Romance            
1920,6.4,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh,Raj Zutshi,Horror,Mystery,Romance            
Zor Lagaa Ke... Haiya!,6.4,Girish Girija Joshi,Meghan Jadhav,Mithun Chakraborty,Riya Sen,Seema Biswas,Comedy,Drama,Family            
Haraamkhor,6.4,Shlok Sharma,Nawazuddin Siddiqui,Shweta Tripathi,Trimala Adhikari,Irfan Khan,Drama,Romance            ,
Lahore,6.4,Sanjay Puransingh Chauhan,Farooq Shaikh,Nafisa Ali,Aanaahad,Sabyasachi Chakrabarty,Action,Drama,Sport            
Angry Young Man,6.4,Ramesh Rout,Amit Bhardwaj,Ashit Kumar,Ajay Sinh Rathod,Prachi Sinha,Action            ,,
Chaarfutiya Chhokare,6.4,Manish Harishankar,Soha Ali Khan,Zakir Hussain,Seema Biswas,Mukesh Tiwari,Drama,Thriller            ,
Ek Villain,6.4,Mohit Suri,Sidharth Malhotra,Shraddha Kapoor,Riteish Deshmukh,Shaad Randhawa,Action,Crime,Drama            
Chargesheet,6.3,Dev Anand,Dev Anand,Sanket Dhawan,Divya Dutta,Shehzad Khan,Drama,Thriller            ,
Future to Bright Hai Ji,6.3,Sanjay Amar,Aamir Bashir,Sonal Sehgal,Asrani,Brijendra Kala,Drama            ,,
Sixteen,6.3,Raj Purohit,Wamiqa Gabbi,Izabelle Leite,Mehak Manwani,Highphill Mathew,Drama,Romance,Thriller            
Khoya Khoya Chand,6.3,Sudhir Mishra,Shiney Ahuja,Soha Ali Khan,Rajat Kapoor,Vinay Pathak,Drama,Romance            ,
The Journey of Karma,6.3,Jagbir Dahiya,Shakti Kapoor,Poonam Pandey,Gauri Shankar,,Drama            ,,
Hello Hum Lallann Bol Rahe Hain,6.3,Dilip Shukla,Rajpal Yadav,Preeti Mehra,Makarand Anaspure,Ketki Dave,Comedy,Drama            ,
Jalebi,6.3,Pushpdeep Bhardwaj,Rhea Chakraborty,Varun Mitra,Digangana Suryavanshi,Arya Poorti,Drama            ,,
Aaja Nachle,6.3,Anil Mehta,Madhuri Dixit,Darshan Jariwala,Raghuvir Yadav,Divya Dutta,Drama,Family,Music            
Main Aur Charles,6.3,Prawaal Raman,Adil Hussain,Alexx O'Nell,Anastasia Fullfina,Dijana Dejanovic,Action,Biography,Crime            
Chal Pichchur Banate Hain,6.3,Pritish Chakraborty,Sagar Bhangade,Mukesh Bhatt,Vipul Bhatt,Manmeet Dhanjal,Comedy,Drama            ,
"Raat Gayi, Baat Gayi?",6.3,Saurabh Shukla,Aamir Bashir,Anil Chaudhary,Makrand Deshpande,Neha Dhupia,Comedy,Drama            ,
Ajab Prem Ki Ghazab Kahani,6.3,Rajkumar Santoshi,Ranbir Kapoor,Katrina Kaif,Darshan Jariwala,Smita Jaykar,Action,Comedy,Romance            
Passport,6.3,Rajesh Sharma,Anna Ador,Ujjval Dave,Prem Gadhavi,Lipi Goyal,Comedy,Drama            ,
Daddy,6.3,Ashim Ahluwalia,Arjun Rampal,Aishwarya Rajesh,Nishikant Kamat,Rajesh Shringarpore,Action,Biography,Crime            
A New Love Ishtory,6.3,John Mathew Matthan,Gurpreet Kaur Chadha,Smita Jaykar,Vijay Patkar,Rajkummar Rao,Romance            ,,
Luka Chuppi,6.3,Laxman Utekar,Kartik Aaryan,Kriti Sanon,Aparshakti Khurana,Pankaj Tripathi,Comedy,Romance            ,
Bhoothnath,6.3,Vivek Sharma,Amitabh Bachchan,Juhi Chawla,Satish Shah,Rajpal Yadav,Comedy,Drama,Family            
Akaash Vani,6.2,Luv Ranjan,Kartik Aaryan,Nushrat Bharucha,Sunny Singh Nijjar,Gautam Mehra,Drama,Romance            ,
Mercury,6.2,Karthik Subbaraj,Prabhu Deva,Gajaraj,Ramya Nambeeshan,Indhuja Ravichandran,Horror,Thriller            ,
M.A.D: Mad About Dance,6.2,Saahil Prem,Saahil Prem,Amrit Maghera,Salah Benlemqawanssa,Akilesh Unnitan,Drama,Musical            ,
Force 2,6.2,Abhinay Deo,John Abraham,Sonakshi Sinha,Tahir Raj Bhasin,Adil Hussain,Action,Thriller            ,
Say Yes to Love,6.2,Mahrukh Mirza,Nazia Hussain,Salim Khan,Aasad Mirza,Saira Mirza,Romance            ,,
Pizza,6.2,Akshay Akkineni,Akshay Oberoi,Parvathy Omanakuttan,Arunoday Singh,Dipannita Sharma,Horror            ,,
Bachna Ae Haseeno,6.2,Siddharth Anand,Ranbir Kapoor,Deepika Padukone,Bipasha Basu,Minissha Lamba,Comedy,Drama,Romance            
Jail,6.2,Madhur Bhandarkar,Manoj Bajpayee,Neil Nitin Mukesh,Atul Kulkarni,Mugdha Godse,Drama            ,,
From Sydney with Love,6.2,Prateek Chakravorty,Bidita Bag,Sabyasachi Chakrabarty,Ronjini Chakraborty,Prateek Chakravorty,Comedy,Romance            ,
Sankat City,6.2,Pankaj Advani,Kay Kay Menon,Rimi Sen,Anupam Kher,Chunky Pandey,Comedy,Crime,Drama            
Teree Sang: A Kidult Love Story,6.2,Satish Kaushik,Ruslaan Mumtaz,Sheena Shahabadi,Rajat Kapoor,Neena Gupta,Drama,Romance            ,
Super Singh,6.2,Anurag Singh,Diljit Dosanjh,Sonam Bajwa,Pavan Malhotra,Alexandra Bandean,Action,Comedy,Fantasy            
Nanu Ki Jaanu,6.2,Faraz Haider,Abhay Deol,Patralekhaa Paul,Rajesh Sharma,Himani Shivpuri,Comedy,Drama,Horror            
Irada,6.2,Aparnaa Singh,Naseeruddin Shah,Arshad Warsi,Divya Dutta,Sharad Kelkar,Drama,Mystery,Thriller            
Mantostaan,6.2,Rahat Kazmi,Bhanu Pratap Singh,Sonal Sehgal,Shoib Shah,Aaditya Pratap Singh,Drama,History            ,
Na Ghar Ke Na Ghaat Ke,6.2,Rahul Aggarwal,Om Puri,Paresh Rawal,Neena Gupta,Ravi Kishan,Comedy,Drama            ,
Haunted - 3D,6.2,Vikram Bhatt,Mimoh Chakraborty,Tia Bajpai,Achint Kaur,Mohan Kapoor,Horror,Mystery,Thriller            
Jugni,6.2,Shefali Bhushan,Sadhana Singh,Anurita Jha,Sugandha Garg,Divya Unny,Drama            ,,
Murder 2,6.2,Mohit Suri,Emraan Hashmi,Jacqueline Fernandez,Prashant Narayanan,Sulagna Panigrahi,Action,Drama,Horror            
Maari,6.2,Balaji Mohan,Dhanush,Kajal Aggarwal,Vijay Yesudas,Robo Shankar,Action,Comedy,Drama            
Thodi Thodi Si Manmaaniyan,6.2,Aditya Sarpotdar,Mukesh Tiwari,Shrenu Parikh,Shilpa Tulaskar,Kuldeep Sarin,Drama,Romance            ,
Kabali,6.2,Pa. Ranjith,Rajinikanth,Winston Chao,Radhika Apte,Dhansika,Action,Crime,Drama            
Maal Road Dilli,6.2,Atul Sriva,Rhythm Arora,Manveer Choudhary,Neha Kargeti,Matin Khan,Comedy            ,,
Dharam Sankat Mein,6.2,Fuwad Khan,Naseeruddin Shah,Paresh Rawal,Annu Kapoor,Auritra Ghosh,Comedy            ,,
Vedalam,6.2,Siva,Ajith Kumar,Shruti Haasan,Lakshmi Menon,Soori,Action,Drama            ,
David,6.2,Bejoy Nambiar,Vikram,Neil Nitin Mukesh,Vinay Virmani,Tabu,Action,Crime,Drama            
All the Best: Fun Begins,6.1,Rohit Shetty,Sanjay Dutt,Ajay Devgn,Fardeen Khan,Bipasha Basu,Action,Comedy,Drama            
Phillauri,6.1,Anshai Lal,Anushka Sharma,Diljit Dosanjh,Suraj Sharma,Mehreen Pirzada,Comedy,Drama,Fantasy            
Halla Bol,6.1,Rajkumar Santoshi,Ajay Devgn,Vidya Balan,Pankaj Kapur,Darshan Jariwala,Crime,Drama            ,
The Film Emotional Atyachar,6.1,Akshay Shere,Ranvir Shorey,Vinay Pathak,Ravi Kishan,Mohit Ahlawat,Comedy,Crime,Drama            
Honeymoon Travels Pvt. Ltd.,6.1,Reema Kagti,Ranvir Shorey,Dia Mirza,Abhay Deol,Minissha Lamba,Comedy,Drama,Romance            
MSG: The Messenger of God,6.1,Jeetu Arora,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,Daniel Kaleb,Flora Saini,Action,Comedy,Drama            
Billu,6.1,Priyadarshan,Irrfan Khan,Lara Dutta,Om Puri,Asrani,Comedy,Drama            ,
Yeh Faasley,6.1,Yogesh Mittal,Rachita Bhattacharya,Seema Biswas,Sudha Chandran,Sanjiv Chopra,Crime,Drama,Mystery            
Prassthanam,6.1,Deva Katta,Sanjay Dutt,Jackie Shroff,Ali Fazal,Manisha Koirala,Action,Drama            ,
I Am 24,6.1,Saurabh Shukla,Rajat Kapoor,Ranvir Shorey,Neha Dhupia,Manjari Fadnnis,Comedy,Romance            ,
Ya Rab,6.1,Hasnain Hyderabadwala,Indrapal Ahuja,Neha Baam,Vikram Dahiya,Rakesh Deewana,Drama            ,,
Time Out,6.1,Rikhil Bahadur,Chirag Malhotra,Pranay Pachauri,Kaamya Sharma,Aditya Jain,Drama,Family,Music            
Inkaar,6.1,Sudhir Mishra,Arjun Rampal,Chitrangda Singh,Vipin Sharma,Mithun Rodwittiya,Drama,Romance,Thriller            
Mickey Virus,6.1,Saurabh Varma,Manish Paul,Dean Alexandrou,Elli Avrram,Varun Badola,Comedy,Thriller            ,
Batti Gul Meter Chalu,6.1,Shree Narayan Singh,Shahid Kapoor,Shraddha Kapoor,Divyendu Sharma,Yami Gautam,Drama            ,,
The Accidental Prime Minister,6.1,Vijay Ratnakar Gutte,Anupam Kher,Akshaye Khanna,Aahana Kumra,Arjun Mathur,Biography,Drama            ,
Shortcut Safari,6.1,Amitabha Singh,Jimmy Sheirgill,Manmeet Singh,,,Adventure,Drama,Mystery            
Dhol,6.1,Priyadarshan,Sharman Joshi,Tusshar Kapoor,Kunal Khemu,Rajpal Yadav,Comedy,Crime,Mystery            
U R My Jaan,6.0,Aron Govil,Mikaal,Preeti Soni,Himani Shivpuri,Anil Dhawan,Romance            ,,
6-5=2,6.0,Swarna Latha,Darshan Apoorva,Vijay Chendoor,Mruthyunjaya,Pallavi,Horror,Thriller            ,
Jeena Hai Toh Thok Daal,6.0,Manish Vatssalya,Ravi Kishan,Manish Vatssalya,Yashpal Sharma,Rahul Kumar,Drama            ,,
Na Jaane Kabse,6.0,Pammi Somal,Lillete Dubey,Gurpreet Ghuggi,Gary Gill,Ayub Khan,Romance            ,,
The Waiting Room,6.0,Maneej Premnath,Raj Singh Chaudhary,Radhika Apte,Sandeep Kulkarni,Prateeksha Lonkar,Crime,Drama,Mystery            
Aakhari Decision,6.0,Deepak Kumar Bandhu,Paul Sidhu,Sumona Chakravarti,Anant Jog,Nagesh Bhonsle,Action,Drama,Thriller            
Bollywood Diaries,6.0,K.D. Satyam,Raima Sen,Salim Diwan,Ashish Vidyarthi,Karuna Pandey,Drama            ,,
Tiger Zinda Hai,6.0,Ali Abbas Zafar,Anupriya Goenka,Salman Khan,Katrina Kaif,Paresh Rawal,Action,Adventure,Thriller            
Apne,6.0,Anil Sharma,Dharmendra,Sunny Deol,Bobby Deol,Shilpa Shetty Kundra,Drama,Sport            ,
Bumm Bumm Bole,6.0,Priyadarshan,Atul Kulkarni,Rituparna Sengupta,Darsheel Safary,Ziyah Vastani,Drama,Family,Thriller            
Ramayana: The Epic,6.0,Chetan Desai,Manoj Bajpayee,Juhi Chawla,Ashutosh Rana,Mukesh Rishi,Animation,Adventure,Family            
Life Mein Kabhie Kabhiee,6.0,Vikram Bhatt,Aftab Shivdasani,Dino Morea,Anuj Sawhney,Nauheed Cyrusi,Drama,Thriller            ,
Humpty Sharma Ki Dulhania,6.0,Shashank Khaitan,Varun Dhawan,Alia Bhatt,Ashutosh Rana,Sidharth Shukla,Comedy,Drama,Romance            
Utt Pataang,6.0,Srikanth Velagaleti,Vinay Pathak,Saurabh Shukla,Mahie Gill,Mona Singh,Comedy,Drama            ,
Raja Abroadiya,6.0,Lakhwinder Shabla,Robin Sohi,Vaishnavi Patwardhan,Alankrita Bora,Yograj Singh,Romance            ,,
Tera Kya Hoga Johnny,6.0,Sudhir Mishra,Neil Nitin Mukesh,Sikandar Agarwal,Aditya Bhattacharya,Abhay Deol,Crime,Drama,Thriller            
Heyy Babyy,6.0,Sajid Khan,Juanna Sanghvi,Akshay Kumar,Fardeen Khan,Riteish Deshmukh,Comedy,Drama            ,
Blank,6.0,Behzad Khambata,Sunny Deol,Karan Kapadia,Karanvir Sharma,Ishita Dutta,Action,Thriller            ,
Why Cheat India,6.0,Soumik Sen,Emraan Hashmi,Shreya Dhanwanthary,Snighdadeep Chatterji,Ashmita Kaur Bakshi,Crime,Drama            ,
Delhi-6,6.0,Rakeysh Omprakash Mehra,Waheeda Rehman,Abhishek Bachchan,Sonam Kapoor,Rishi Kapoor,Comedy,Drama            ,
Love You to Death,6.0,Rafeeq Ellias,Sohrab Ardeshir,Abhro Banerjee,Kallol Banerjee,Nicholas Brown,Comedy,Thriller            ,
Jattu Engineer,6.0,Honeypreet Insan,Gurmeet Ram Rahim Singh,Amardeep Insan,Ashok Insan,Divya Insan,Comedy            ,,
Challo Driver,6.0,Vickrant Mahajan,Vickrant Mahajan,Kainaz Motivala,Prem Chopra,Deepak Arora,Comedy            ,,
U Me Aur Hum,5.9,Ajay Devgn,Ajay Devgn,Kajol,Sumeet Raghvan,Divya Dutta,Drama,Romance            ,
The Perfect Girl,5.9,Prakash Nambiar,Teeshay,Tara-Alisha Berry,Shalaka Apte,Ashutosh Chabbra,Romance            ,,
Lanka,5.9,Maqbool Khan,Manoj Bajpayee,Arjan Bajwa,Tia Bajpai,Yashpal Sharma,Action,Crime,Drama            
Satya 2,5.9,Ram Gopal Varma,Puneet Singh Ratn,Sharvanand,Anaika Soti,Mahesh Thakur,Action,Crime,Drama            
Satyagraha,5.9,Prakash Jha,Amitabh Bachchan,Manoj Bajpayee,Kareena Kapoor,Ajay Devgn,Drama            ,,
Straight,5.9,Parvati Balagopalan,Vinay Pathak,Gul Panag,Anuj Chaudhary,Sid Makkar,Comedy,Drama            ,
Bank Chor,5.9,Bumpy,Riteish Deshmukh,Vivek Oberoi,Rhea Chakraborty,Sahil Vaid,Action,Comedy,Thriller            
Quick Gun Murugun: Misadventures of an Indian Cowboy,5.9,Shashanka Ghosh,Rajendra Prasad,Nassar,Rambha,Raju Sundaram,Action,Comedy,Drama            
Vishwaroopam 2,5.9,Kamal Haasan,Kamal Haasan,Rahul Bose,Shekhar Kapur,Pooja Kumar,Action,Thriller            ,
Mumbai Delhi Mumbai,5.8,Satish Rajwade,Shiv Panditt,Piaa Bajpai,Naisha Arora,Manoj Bakshi,Comedy,Romance            ,
Ae Dil Hai Mushkil,5.8,Karan Johar,Ranbir Kapoor,Aishwarya Rai Bachchan,Anushka Sharma,Fawad Khan,Drama,Music,Musical            
1:13:7 Ek Tera Saath,5.8,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani,Aprajita Mahajan,Horror            ,,
"Three: Love, Lies, Betrayal",5.8,Vishal Pandya,Aashish Chaudhary,Akshay Kapoor,Nausheen Ali Sardar,Achint Kaur,Drama,Mystery,Thriller            
Ab Tak Chhappan 2,5.8,Ejaz Gulab,Nana Patekar,Mohan Agashe,Gul Panag,Ashutosh Rana,Action,Crime,Thriller            
Chintu Ji,5.8,Ranjit Kapoor,Rishi Kapoor,Priyanshu Chatterjee,Kulraj Randhawa,Saurabh Shukla,Comedy,Drama            ,
Ajab singh ki gajab kahani,5.8,Rishi Prakash Mishra,Vikas Giri,Rajesh Jais,Amit Koushik,Mukesh Mishra,Drama            ,,
Mumbai Mast Kallander,5.8,Musavir Jaleel,Aman Mihani,Mohsin,Muzzi,Shilpa Shukla,Action,Comedy,Crime            
Aloo Chaat,5.8,Robbie Grewal,Aftab Shivdasani,Aamna Sharif,Linda Arsenio,Sanjay Mishra,Comedy,Drama,Romance            
Aalaap,5.8,Manish Manikpuri,Omkar Das Manikpuri,Pitobash,Amit Purohit,Vijay Raaz,Sci-Fi            ,,
Let's Dance,5.8,Aarif Sheikh,Gayatri Bahl,Aqib Afzaal,Ajay Chaudhary,Aabhas Yadav,Crime,Drama,Musical            
Malaal,5.8,Mangesh Hadawale,Meezaan Jafri,Sharmin Segal,Badri Chavan,Komal Chhabria,Action,Drama,Romance            
Love Shagun,5.8,Saandesh Nayak,Anuj Sachdeva,Nidhi Subbaiah,Manit Joura,Simpy Singh,Comedy,Romance            ,
Do Dilon Ke Khel Mein,5.8,Akash Pandey,Rajesh Khanna,Annu Kapoor,Nausheen Ali Sardar,Rohit Nayyar,Comedy,Drama,Romance            
Ghanchakkar,5.8,Raj Kumar Gupta,Emraan Hashmi,Vidya Balan,Raj Kumar Gupta,Rajesh Sharma,Comedy,Crime,Thriller            
Nautanki Saala!,5.8,Rohan Sippy,Ayushmann Khurrana,Kunaal Roy Kapur,Pooja Salvi,Gaelyn Mendonca,Comedy            ,,
Sukhmani,5.7,Gurdas Maan,Juhi Chawla,Divya Dutta,Anup Soni,,Drama            ,,
Mohenjo Daro,5.7,Ashutosh Gowariker,Hrithik Roshan,Pooja Hegde,Kabir Bedi,Arunoday Singh,Action,Adventure,Drama            
Love Khichdi,5.7,Srinivas Bhashyam,Randeep Hooda,Rituparna Sengupta,Sada,Divya Dutta,Comedy,Drama,Romance            
Kurbaan,5.7,Renzil D'Silva,Lewis Tan,Kareena Kapoor,Saif Ali Khan,Om Puri,Action,Crime,Drama            
The Blueberry Hunt,5.7,Anup Kurian,Kartik Elangovan,Vinay Forrt,Aahana Kumra,P.T. Manoj,Action,Thriller            ,
A Decent Arrangement,5.7,Sarovar Banka,Shabana Azmi,Diksha Basu,Adhir Bhat,Adam Laupus,Comedy,Drama            ,
Ek Thi Daayan,5.7,Kannan Iyer,Emraan Hashmi,Konkona Sen Sharma,Kalki Koechlin,Huma Qureshi,Horror,Romance,Thriller            
Singh Is Kinng,5.7,Anees Bazmee,Akshay Kumar,Katrina Kaif,Om Puri,Kiron Kher,Action,Comedy,Crime            
Partner,5.7,David Dhawan,Salman Khan,Govinda,Lara Dutta,Katrina Kaif,Comedy,Drama,Romance            
BHK Bhalla@Halla.Kom,5.7,Rakesh Chaturvedi Om,Rasika Agashe,Inshika Bedi,Sukhwinder Chahal,Nirmala J. Chandra,Comedy            ,,
Ek Main Aur Ekk Tu,5.7,Shakun Batra,Kareena Kapoor,Imran Khan,Boman Irani,Zenobia Shroff,Comedy,Drama,Romance            
Shuddh Desi Romance,5.7,Maneesh Sharma,Sushant Singh Rajput,Parineeti Chopra,Rishi Kapoor,Vaani Kapoor,Drama,Romance            ,
Saaho,5.7,Sujeeth,Prabhas,Shraddha Kapoor,Jacqueline Fernandez,Jackie Shroff,Action,Thriller            ,
Dil Toh Baccha Hai Ji,5.7,Madhur Bhandarkar,Ajay Devgn,Emraan Hashmi,Omi Vaidya,Shazahn Padamsee,Comedy,Drama,Romance            
Sameer,5.7,Dakxin Bajrange,Mohammed Zeeshan Ayyub,Master Shubham Bajrange,Jay Bhatt,Seema Biswas,Drama            ,,
Kis Kisko Pyaar Karoon,5.7,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Kapil Sharma,Simran Kaur Mundi,Manjari Fadnnis,Comedy            ,,
Love Breakups Zindagi,5.7,Sahil Sangha,Zayed Khan,Dia Mirza,Cyrus Sahukar,Tisca Chopra,Comedy,Drama,Romance            
Tum Milo Toh Sahi,5.7,Kabir Sadanand,Nana Patekar,Dimple Kapadia,Sunil Shetty,Vidya Malvade,Comedy,Drama            ,
John Day,5.7,Ahishor Solomon,Naseeruddin Shah,Randeep Hooda,Elena Kazan,Shernaz Patel,Drama            ,,
Dus Kahaniyaan,5.7,Jasmeet Dhodhi,Meghna Gulzar,Sanjay Gupta,Apoorva Lakhia,Hansal Mehta,Drama            ,,
Yeh Hai India,5.7,Lom Harsh,Gavie Chahal,Mohan Agashe,Mohan Joshi,Lom Harsh,Action,Adventure,Drama            
Qaidi Band,5.7,Habib Faisal,Aadar Jain,Anya Singh,Mikhail Yawalkar,Anna Ador,Drama,Music            ,
Fatso!,5.7,Rajat Kapoor,Gul Panag,Purab Kohli,Ranvir Shorey,Bharti Achrekar,Comedy,Fantasy,Romance            
Singh Saab the Great,5.7,Anil Sharma,Sunny Deol,Urvashi Rautela,Prakash Raj,Amrita Rao,Action,Drama            ,
Mere Khwabon Mein Jo Aaye,5.7,Madhureeta Anand,Randeep Hooda,Raima Sen,Arbaaz Khan,Javed Akhtar,Drama,Fantasy,Musical            
Khwaabb,5.6,Zaid Ali Khan,Simer Motiani,Navdip Singh,Bajrangbali Singh,Rishi Miglani,Drama,Romance,Sport            
Staying Alive,5.6,Ananth Narayan Mahadevan,Jahangir Khan,Ananth Narayan Mahadevan,Navni Parihar,Chandan Sanyal,Drama            ,,
Dhoondte Reh Jaoge,5.6,Umesh Shukla,Paresh Rawal,Kunal Khemu,Sonu Sood,Soha Ali Khan,Comedy,Drama            ,
Global Baba,5.6,Manoj Tiwari,Pankaj Tripathi,Sandeepa Dhar,Ravi Kishan,Abhimanyu Singh,Thriller            ,,
Ta Ra Rum Pum,5.6,Siddharth Anand,Saif Ali Khan,Rani Mukerji,Javed Jaffrey,Ali Haji,Family,Romance,Sport            
Gippi,5.6,Sonam Nair,Riya Vij,Taaha Shah Badusha,Acchui,Anjali,Comedy,Drama            ,
Jeena Isi Ka Naam Hai,5.6,Keshhav Panneriy,Arbaaz Khan,Himansh Kohli,Ashutosh Rana,Manjari Fadnnis,Drama            ,,
Ramaiya Vastavaiya,5.6,Prabhu Deva,Shruti Haasan,Girish Taurani,Randhir Kapoor,Sonu Sood,Action,Drama,Romance            
Ata Pata Lapatta,5.6,Rajpal Yadav,Asrani,Amit Behl,Lankesh Bhardwaj,Krishna Bhatt,Comedy,Musical            ,
Vodka Diaries,5.6,Kushal Srivastava,Kay Kay Menon,Raima Sen,Mandira Bedi,Sharib Hashmi,Mystery,Thriller            ,
ROAR: Tigers of the Sundarbans,5.6,Kamal Sadanah,Aadil Chahal,Ahran Chaudhary,Pranay Dixit,Subrat Dutta,Action,Adventure,Sci-Fi            
Satrangee Parachute,5.6,Vineet Khetrapal,Sanjay Mishra,Zakir Hussain,Lilliput,Rupali Ganguly,Comedy,Drama,Family            
Mummy Punjabi: Superman Ki Bhi Maa!!,5.6,Pammi Somal,Kiron Kher,Kanwaljit Singh,Jackie Shroff,Anju Mahendru,Comedy,Drama            ,
Aamras: The Sweet Taste of Friendship,5.6,Rupali Guha,Vega Tamotia,Ntasha Bhardwaj,Maanvi Gagroo,Aanchal Sabharwal,Drama            ,,
Raaz: The Mystery Continues,5.6,Mohit Suri,Kangana Ranaut,Adhyayan Suman,Emraan Hashmi,Vicky Ahuja,Horror,Mystery,Romance            
Heroes,5.6,Samir Karnik,Sohail Khan,Vatsal Sheth,Amrita Arora,Riya Sen,Action,Adventure,Comedy            
Khajoor Pe Atke,5.6,Harsh Chhaya,Vinay Pathak,Suneeta Sengupta,Alka Amin,Manoj Pahwa,Comedy            ,,
Vaada Raha... I Promise,5.5,Samir Karnik,Bobby Deol,Dwij Yadav,Kangana Ranaut,Mohnish Bahl,Drama            ,,
22 Days,5.5,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh,Kirti Choudhary,Thriller            ,,
My Birthday Song,5.5,Samir Soni,Nora Fatehi,Elena Kazan,Suparna Krishna,Pitobash,Thriller            ,,
Zero,5.5,Aanand L. Rai,Shah Rukh Khan,Anushka Sharma,Katrina Kaif,Mohammed Zeeshan Ayyub,Comedy,Drama,Romance            
Helicopter Eela,5.5,Pradeep Sarkar,Kajol,Riddhi Sen,Tota Roy Chowdhury,Neha Dhupia,Drama            ,,
Begum Jaan,5.5,Srijit Mukherji,Amitabh Bachchan,Pallavi Sharda,Vidya Balan,Naseeruddin Shah,Action,Drama,History            
When Obama Loved Osama,5.5,Sudhish Kumar Sharma,Amrita Acharya,Kimti Anand,Rahul Avana,Mohit Baghel,Comedy            ,,
X: Past Is Present,5.5,Hemant Gaba,Pratim D. Gupta,Sudhish Kamath,Nalan Kumarasamy,Anu Menon,Drama,Mystery,Romance            
War Chod Na Yaar,5.5,Faraz Haider,Sharman Joshi,Soha Ali Khan,Javed Jaffrey,Sanjay Mishra,Comedy,War            ,
Ek Ladki Ko Dekha Toh Aisa Laga,5.5,Shelly Chopra Dhar,Sonam Kapoor,Anil Kapoor,Rajkummar Rao,Juhi Chawla,Comedy,Drama,Romance            
Hawaizaada,5.5,Vibhu Puri,Naman Jain,Mithun Chakraborty,Kanishka Singh Deo,Krutika Deo,Biography,Drama            ,
Shaapit: The Cursed,5.5,Vikram Bhatt,Aditya Narayan,Shweta Agarwal,Shubh Joshi,Natasha Sinha,Adventure,Horror,Romance            
Poster Boys,5.5,Shreyas Talpade,Sunny Deol,Bobby Deol,Shreyas Talpade,Randheer Rai,Comedy            ,,
Payback,5.5,Sachin P. Karande,Gulshan Grover,Munish Khan,Zakir Hussain,Mukesh Tiwari,Action,Crime,Drama            
Kaashi in Search of Ganga,5.5,Dhiraj Kumar,Aishwarya Devan,Kranti Prakash Jha,Manoj Joshi,Sharman Joshi,Thriller            ,,
Fuddu,5.5,Sunil Subramani,Shubham,Swati Kapoor,Uday Tikekar,Shalini Arora,Comedy,Drama            ,
Bang Bang,5.5,Siddharth Anand,Hrithik Roshan,Katrina Kaif,Pavan Malhotra,Danny Denzongpa,Action,Adventure,Comedy            
?: A Question Mark,5.5,Allyson Patel,Yash Dave,Kiran Bhatia,Yaman Chatwal,Maanvi Gagroo,Horror,Mystery,Thriller            
Tutak Tutak Tutiya,5.4,A.L. Vijay,RJ Balaji,Tamannaah Bhatia,Prabhu Deva,Karishma Gulati,Comedy,Horror            ,
London Dreams,5.4,Vipul Amrutlal Shah,Salman Khan,Ajay Devgn,Om Puri,Varun Sharma,Drama,Music            ,
Bharat,5.4,Ali Abbas Zafar,Salman Khan,Katrina Kaif,Sunil Grover,Tabu,Action,Drama            ,
Shakal Pe Mat Ja,5.4,Shubh,Shubh,Pratik Katare,Harsh Parekh,Chitrak Bandyopadhyay,Comedy,Crime,Drama            
Happy Ending,5.4,Krishna D.K.,Raj Nidimoru,Saif Ali Khan,Ileana D'Cruz,Kalki Koechlin,Comedy,Romance            ,
